fused.ts,fused.H,fused.q[0],fused.q[1],fused.q[2],fused.q[3]
10369,-27.097155,0.999975,0.007039,-0.00015,0.00001
10410,-27.098343,0.999974,0.007139,-0.000438,-0.000145
10471,-27.099091,0.999974,0.007265,-0.000423,0.000042
10533,-27.099491,0.999973,0.007272,-0.000532,-0.000005
10574,-27.098869,0.999973,0.007289,-0.000523,0.000002
10636,-27.098787,0.999973,0.007303,-0.000511,0.000012
10697,-27.098782,0.999973,0.007294,-0.000511,0.000015
10759,-27.096622,0.999973,0.007306,-0.000491,0.000012
10800,-27.095633,0.999973,0.007299,-0.000484,0.000014
10862,-27.095224,0.999973,0.007293,-0.000474,0.00001
10924,-27.094315,0.999973,0.007294,-0.000482,0.000013
10964,-27.092545,0.999973,0.007295,-0.000474,0.000012
11026,-27.090513,0.999973,0.00731,-0.000464,0.000012
11087,-27.091599,0.999973,0.007301,-0.000454,0.000011
11128,-27.09276,0.999973,0.007296,-0.000427,0.000012
11190,-27.093599,0.999973,0.007291,-0.000411,0.00001
11252,-27.094326,0.999973,0.007293,-0.000419,0.00001
11293,-27.095051,0.999973,0.007291,-0.00042,0.000014
11354,-27.095032,0.999973,0.007281,-0.000403,0.00001
11416,-27.095997,0.999973,0.007278,-0.0004,0.000009
11457,-27.096855,0.999974,0.007271,-0.000395,0.000014
11519,-27.097212,0.999974,0.007261,-0.000362,0.000016
11580,-27.097904,0.999974,0.007271,-0.000354,0.000013
11621,-27.098469,0.999974,0.007278,-0.000344,0.000013
11683,-27.098364,0.999974,0.007267,-0.000345,0.000009
11744,-27.098089,0.999973,0.007296,-0.000344,0.000009
11786,-27.098083,0.999973,0.00731,-0.000349,0.000005
11848,-27.098434,0.999976,0.006906,-0.000259,0.000096
11909,-27.098072,0.999974,0.00722,-0.000411,-0.000083
11950,-27.094482,0.999975,0.007105,-0.000549,-0.000132
12011,-27.091951,0.999982,0.005957,-0.000583,0.000066
12073,-27.091232,0.999977,0.006779,-0.000511,0
12114,-27.089819,0.999982,0.006064,-0.000511,-0.000088
12176,-27.089825,0.999982,0.005911,-0.000498,0.000011
12237,-27.090563,0.999977,0.006843,-0.000281,0.000068
12299,-27.090225,0.999973,0.007413,-0.000246,0.000004
12340,-27.088802,0.999973,0.007295,-0.000274,0.000028
12402,-27.08773,0.999973,0.007295,-0.000259,0.000021
12463,-27.087021,0.999973,0.00731,-0.000276,0.000015
12504,-27.087391,0.999973,0.007344,-0.000285,0.000019
12566,-27.085983,0.999973,0.007355,-0.000283,0.00001
12627,-27.086332,0.999973,0.00736,-0.000277,0.00001
12668,-27.08564,0.999973,0.007361,-0.00027,0.000012
12730,-27.086714,0.999973,0.007347,-0.00025,0.000017
12792,-27.087454,0.999973,0.007355,-0.000247,0.000011
12853,-27.088537,0.999973,0.007345,-0.00027,0.00002
12915,-27.088541,0.999973,0.007367,-0.000297,0.000036
12956,-27.089252,0.999973,0.007351,-0.000293,0.000002
13018,-27.08783,0.999973,0.007349,-0.00028,0.000013
13080,-27.088175,0.999973,0.007382,-0.000336,0.00005
13120,-27.086754,0.999973,0.007373,-0.000303,-0.000009
13182,-27.086739,0.999973,0.007371,-0.000278,0.000001
13243,-27.086744,0.999973,0.007374,-0.000295,-0.000004
13284,-27.08675,0.999973,0.00741,-0.000293,-0.000004
13346,-27.087107,0.999973,0.007412,-0.000267,0.000005
13408,-27.088179,0.999972,0.007433,-0.000339,0.000052
13448,-27.086784,0.999971,0.007585,-0.000372,0.000012
13510,-27.087461,0.999971,0.00757,-0.000357,-0.000003
13572,-27.086777,0.999972,0.007545,-0.000343,0.000014
13613,-27.086407,0.999971,0.007647,-0.000344,0.000043
13675,-27.085703,0.99997,0.007792,-0.000328,0.00002
13736,-27.085333,0.999969,0.007831,-0.000346,0.000016
13777,-27.084284,0.999971,0.007613,-0.00031,-0.000023
13839,-27.084248,0.999972,0.007485,-0.000281,0.000026
13900,-27.082897,0.999972,0.007451,-0.000276,0.000001
13941,-27.083166,0.999972,0.007448,-0.000274,0.000007
14003,-27.083876,0.999972,0.007457,-0.000269,0.000002
14064,-27.084604,0.999972,0.007442,-0.000279,0.000009
14106,-27.085318,0.999972,0.007445,-0.000269,0.000011
14168,-27.085039,0.999972,0.007439,-0.000262,0.000013
14229,-27.084673,0.999972,0.007435,-0.00026,0.000015
14270,-27.084972,0.999972,0.007433,-0.000267,0.00001
14332,-27.083721,0.999972,0.007459,-0.000265,0.000007
14393,-27.082922,0.999972,0.007478,-0.00026,0.00001
14455,-27.083172,0.999972,0.007485,-0.00025,0.000012
14496,-27.082914,0.999972,0.007465,-0.000259,0.000009
14558,-27.083784,0.999972,0.007476,-0.000245,0.000015
14620,-27.083946,0.999972,0.007441,-0.000249,-0.000034
14661,-27.083086,0.999972,0.007483,-0.000252,0.00002
14722,-27.082003,0.999972,0.007483,-0.000205,-0.000011
14784,-27.081264,0.999972,0.007475,-0.000192,0.000023
14825,-27.080811,0.999972,0.007472,-0.000212,0.000002
14886,-27.080053,0.999972,0.007463,-0.000045,0.000003
14948,-27.079634,0.999973,0.007259,0.001228,0.000176
14989,-27.078913,0.999955,0.006551,0.006871,0.000596
15050,-27.078295,0.999866,0.005192,0.015463,0.001066
15112,-27.078184,0.999752,0.003704,0.021953,0.001155
15153,-27.077888,0.999755,0.004102,0.021734,0.000977
15215,-27.077217,0.999733,0.003822,0.022752,0.00138
15276,-27.076069,0.999948,-0.000617,0.010167,0.001054
15317,-27.075596,0.999969,-0.007859,-0.001011,0.000219
15379,-27.075829,0.999983,0.005578,-0.001855,0.000372
15440,-27.075815,0.999979,0.006028,-0.002318,0.000335
15502,-27.07601,0.999976,0.006403,-0.002546,0.000071
15543,-27.07592,0.999975,0.006584,-0.002575,-0.000013
15605,-27.076183,0.999975,0.006609,-0.002581,0.000024
15666,-27.075695,0.999975,0.006594,-0.002577,0.000032
15707,-27.074099,0.999975,0.00659,-0.002566,0.000028
15769,-27.07292,0.999975,0.006573,-0.002557,0.000026
15831,-27.071709,0.999975,0.006569,-0.002536,0.000028
15892,-27.071135,0.999975,0.006575,-0.002541,0.000044
15933,-27.069809,0.999975,0.006548,-0.002528,0.000023
15995,-27.069033,0.999975,0.006539,-0.002548,0.000031
16056,-27.069571,0.999976,0.006454,-0.002566,-0.000051
16118,-27.070049,0.999976,0.006429,-0.002597,0.000011
16180,-27.069941,0.999977,0.006329,-0.002506,0.000034
16221,-27.069304,0.999977,0.006317,-0.0024,0.000005
16282,-27.068544,0.999978,0.006281,-0.002355,0.000025
16323,-27.068029,0.999978,0.006297,-0.002308,0.000026
